NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;11;2:33.826;0;;33.758;0;59.497;0;1:00.571;0;128.1;29:42.943;12:44:21.204;0:33.758;0:59.497;1:00.571;203.8;;Am;;Toyota Gazoo Racing;GF;33.758;59.497;60.571;20.794;20.794;12.964;33.758;23.189;56.947;36.308;1:33.255;29.353;2:02.608;31.218;2:33.826
3;1;12;2:34.797;0;;33.676;0;58.015;0;1:03.106;0;127.3;32:17.740;12:46:56.001;0:33.676;0:58.015;1:03.106;206.1;;Am;;Toyota Gazoo Racing;FCY;33.676;58.015;63.106;20.574;20.574;13.102;33.676;22.832;56.508;35.183;1:31.691;30.572;2:02.263;32.534;2:34.797
3;1;13;3:27.372;0;;38.675;0;1:31.876;0;1:16.821;0;95.0;35:45.112;12:50:23.373;0:38.675;1:31.876;1:16.821;94.2;;Am;;Toyota Gazoo Racing;FCY;38.675;91.876;76.821;25.172;25.172;13.503;38.675;31.694;1:10.369;1:00.182;2:10.551;38.066;2:48.617;38.755;3:27.372
3;1;14;3:36.479;0;;50.174;0;1:29.025;0;1:17.280;0;91.0;39:21.591;12:53:59.852;0:50.174;1:29.025;1:17.280;133.7;;Am;;Toyota Gazoo Racing;GF;50.174;89.025;77.28;34.826;34.826;15.348;50.174;27.528;1:17.702;1:01.497;2:19.199;33.37;2:52.569;43.91;3:36.479
3;1;15;2:31.348;0;;32.757;0;58.080;0;1:00.511;0;130.2;41:52.939;12:56:31.200;0:32.757;0:58.080;1:00.511;200.0;;Am;;Toyota Gazoo Racing;GF;32.757;58.08;60.511;20.315;20.315;12.442;32.757;22.733;55.490;35.347;1:30.837;29.305;2:00.142;31.206;2:31.348
3;1;16;2:31.680;0;;32.666;2;57.754;2;1:01.260;0;129.9;44:24.619;12:59:02.880;0:32.666;0:57.754;1:01.260;209.3;;Am;;Toyota Gazoo Racing;GF;32.666;57.754;61.26;20.176;20.176;12.49;32.666;22.651;55.317;35.103;1:30.420;29.687;2:00.107;31.573;2:31.680
3;1;17;2:34.453;0;;33.376;0;1:00.968;0;1:00.109;0;127.5;46:59.072;13:01:37.333;0:33.376;1:00.968;1:00.109;202.2;;Am;;Toyota Gazoo Racing;FF;33.376;60.968;60.109;20.59;20.59;12.786;33.376;24.251;57.627;36.717;1:34.344;29.021;2:03.365;31.088;2:34.453
11;1;1;2:46.850;0;;45.219;0;1:00.711;0;1:00.920;0;118.1;2:46.850;12:17:25.111;0:45.219;1:00.711;1:00.920;199.3;;Am;Legends;Toyota Gazoo Racing;GF;45.219;60.711;60.92;;;;45.219;24.532;1:09.751;36.179;1:45.930;29.543;2:15.473;31.377;2:46.850
11;1;2;2:35.793;0;;33.488;0;1:00.585;0;1:01.720;0;126.4;5:22.643;12:20:00.904;0:33.488;1:00.585;1:01.720;198.5;;Am;Legends;Toyota Gazoo Racing;GF;33.488;60.585;61.72;20.696;20.696;12.792;33.488;22.806;56.294;37.779;1:34.073;30.571;2:04.644;31.149;2:35.793
11;1;3;2:33.149;0;;33.428;0;58.872;0;1:00.849;0;128.6;7:55.792;12:22:34.053;0:33.428;0:58.872;1:00.849;201.5;;Am;Legends;Toyota Gazoo Racing;GF;33.428;58.872;60.849;20.577;20.577;12.851;33.428;22.931;56.359;35.941;1:32.300;29.75;2:02.050;31.099;2:33.149
11;1;4;2:32.660;0;;33.146;0;58.339;0;1:01.175;0;129.0;10:28.452;12:25:06.713;0:33.146;0:58.339;1:01.175;204.5;;Am;Legends;Toyota Gazoo Racing;GF;33.146;58.339;61.175;20.515;20.515;12.631;33.146;22.805;55.951;35.534;1:31.485;29.543;2:01.028;31.632;2:32.660
11;1;5;2:31.945;0;;33.807;0;58.434;0;59.704;2;129.6;13:00.397;12:27:38.658;0:33.807;0:58.434;0:59.704;200.7;;Am;Legends;Toyota Gazoo Racing;GF;33.807;58.434;59.704;21.111;21.111;12.696;33.807;22.822;56.629;35.612;1:32.241;28.841;2:01.082;30.863;2:31.945
11;1;6;2:32.743;0;;33.118;2;58.804;0;1:00.821;0;129.0;15:33.140;12:30:11.401;0:33.118;0:58.804;1:00.821;202.2;;Am;Legends;Toyota Gazoo Racing;GF;33.118;58.804;60.821;20.557;20.557;12.561;33.118;23.093;56.211;35.711;1:31.922;29.309;2:01.231;31.512;2:32.743
11;1;7;2:33.909;0;;33.451;0;58.449;0;1:02.009;0;128.0;18:07.049;12:32:45.310;0:33.451;0:58.449;1:02.009;199.3;;Am;Legends;Toyota Gazoo Racing;FCY;33.451;58.449;62.009;20.82;20.82;12.631;33.451;22.652;56.103;35.797;1:31.900;29.807;2:01.707;32.202;2:33.909
11;1;8;3:13.066;0;;33.736;0;1:25.861;0;1:13.469;0;102.0;21:20.115;12:35:58.376;0:33.736;1:25.861;1:13.469;70.4;;Am;Legends;Toyota Gazoo Racing;FCY;33.736;85.861;73.469;20.935;20.935;12.801;33.736;25.560;59.296;1:00.301;1:59.597;36.171;2:35.768;37.298;3:13.066
11;1;9;3:17.946;0;;48.828;0;1:17.791;0;1:11.327;0;99.5;24:38.061;12:39:16.322;0:48.828;1:17.791;1:11.327;123.9;;Am;Legends;Toyota Gazoo Racing;GF;48.828;77.791;71.327;31.992;31.992;16.836;48.828;24.923;1:13.751;52.868;2:06.619;31.108;2:37.727;40.219;3:17.946
11;1;10;2:31.501;2;;33.413;0;57.951;2;1:00.137;0;130.0;27:09.562;12:41:47.823;0:33.413;0:57.951;1:00.137;203.8;;Am;Legends;Toyota Gazoo Racing;GF;33.413;57.951;60.137;20.768;20.768;12.645;33.413;22.559;55.972;35.392;1:31.364;29.035;2:00.399;31.102;2:31.501
11;1;11;2:34.130;0;;33.557;0;59.243;0;1:01.330;0;127.8;29:43.692;12:44:21.953;0:33.557;0:59.243;1:01.330;203.0;;Am;Legends;Toyota Gazoo Racing;GF;33.557;59.243;61.33;20.672;20.672;12.885;33.557;23.265;56.822;35.978;1:32.800;29.938;2:02.738;31.392;2:34.130
11;1;12;2:35.381;0;;33.227;0;58.150;0;1:04.004;0;126.8;32:19.073;12:46:57.334;0:33.227;0:58.150;1:04.004;206.1;;Am;Legends;Toyota Gazoo Racing;FCY;33.227;58.15;64.004;20.511;20.511;12.716;33.227;22.880;56.107;35.270;1:31.377;30.715;2:02.092;33.289;2:35.381
11;1;13;3:26.650;0;;38.261;0;1:31.627;0;1:16.762;0;95.3;35:45.723;12:50:23.984;0:38.261;1:31.627;1:16.762;96.9;;Am;Legends;Toyota Gazoo Racing;FCY;38.261;91.627;76.762;24.963;24.963;13.298;38.261;31.265;1:09.526;1:00.362;2:09.888;37.964;2:47.852;38.798;3:26.650
11;1;14;3:36.326;0;;51.089;0;1:28.741;0;1:16.496;0;91.1;39:22.049;12:54:00.310;0:51.089;1:28.741;1:16.496;118.7;;Am;Legends;Toyota Gazoo Racing;GF;51.089;88.741;76.496;35.469;35.469;15.62;51.089;26.558;1:17.647;1:02.183;2:19.830;32.846;2:52.676;43.65;3:36.326
11;1;15;2:34.116;0;;33.179;0;59.396;0;1:01.541;0;127.8;41:56.165;12:56:34.426;0:33.179;0:59.396;1:01.541;202.2;;Am;Legends;Toyota Gazoo Racing;GF;33.179;59.396;61.541;20.55;20.55;12.629;33.179;22.910;56.089;36.486;1:32.575;30.3;2:02.875;31.241;2:34.116
11;1;16;2:33.337;0;;33.597;0;58.373;0;1:01.367;0;128.5;44:29.502;12:59:07.763;0:33.597;0:58.373;1:01.367;203.8;;Am;Legends;Toyota Gazoo Racing;GF;33.597;58.373;61.367;20.983;20.983;12.614;33.597;22.576;56.173;35.797;1:31.970;29.964;2:01.934;31.403;2:33.337
11;1;17;2:33.680;0;;33.437;0;59.541;0;1:00.702;0;128.2;47:03.182;13:01:41.443;0:33.437;0:59.541;1:00.702;200.7;;Am;Legends;Toyota Gazoo Racing;FF;33.437;59.541;60.702;20.834;20.834;12.603;33.437;23.120;56.557;36.421;1:32.978;29.304;2:02.282;31.398;2:33.680
113;1;1;2:45.101;0;;44.133;0;58.643;0;1:02.325;0;119.3;2:45.101;12:17:23.362;0:44.133;0:58.643;1:02.325;210.9;;Am;;Toyota Gazoo Racing;GF;44.133;58.643;62.325;;;;44.133;23.197;1:07.330;35.446;1:42.776;30.606;2:13.382;31.719;2:45.101
113;1;2;2:31.466;0;;33.952;0;57.652;0;59.862;0;130.1;5:16.567;12:19:54.828;0:33.952;0:57.652;0:59.862;206.1;;Am;;Toyota Gazoo Racing;GF;33.952;57.652;59.862;21.382;21.382;12.57;33.952;22.375;56.327;35.277;1:31.604;28.806;2:00.410;31.056;2:31.466
113;1;3;2:31.248;0;;32.88;0;58.424;0;59.944;0;130.2;7:47.815;12:22:26.076;0:32.880;0:58.424;0:59.944;204.5;;Am;;Toyota Gazoo Racing;GF;32.88;58.424;59.944;20.336;20.336;12.544;32.88;23.033;55.913;35.391;1:31.304;28.847;2:00.151;31.097;2:31.248
113;1;4;2:30.586;2;;33.168;0;57.516;0;59.902;0;130.8;10:18.401;12:24:56.662;0:33.168;0:57.516;0:59.902;203.8;;Am;;Toyota Gazoo Racing;GF;33.168;57.516;59.902;20.359;20.359;12.809;33.168;22.294;55.462;35.222;1:30.684;28.575;1:59.259;31.327;2:30.586
113;1;5;2:30.903;0;;33.25;0;58.226;0;59.427;2;130.5;12:49.304;12:27:27.565;0:33.250;0:58.226;0:59.427;200.7;;Am;;Toyota Gazoo Racing;GF;33.25;58.226;59.427;20.482;20.482;12.768;33.25;22.464;55.714;35.762;1:31.476;28.791;2:00.267;30.636;2:30.903
113;1;6;2:31.588;0;;32.787;0;58.043;0;1:00.758;0;129.9;15:20.892;12:29:59.153;0:32.787;0:58.043;1:00.758;201.5;;Am;;Toyota Gazoo Racing;GF;32.787;58.043;60.758;20.403;20.403;12.384;32.787;22.447;55.234;35.596;1:30.830;29.059;1:59.889;31.699;2:31.588
113;1;7;2:30.801;0;;32.622;2;58.239;0;59.940;0;130.6;17:51.693;12:32:29.954;0:32.622;0:58.239;0:59.940;201.5;;Am;;Toyota Gazoo Racing;FCY;32.622;58.239;59.94;20.192;20.192;12.43;32.622;22.737;55.359;35.502;1:30.861;28.753;1:59.614;31.187;2:30.801
113;1;8;3:25.177;0;;36.498;0;1:34.726;0;1:13.953;0;96.0;21:16.870;12:35:55.131;0:36.498;1:34.726;1:13.953;82.8;;Am;;Toyota Gazoo Racing;FCY;36.498;94.726;73.953;22.103;22.103;14.395;36.498;33.681;1:10.179;1:01.045;2:11.224;36.018;2:47.242;37.935;3:25.177
113;1;9;3:18.997;0;;48.439;0;1:17.289;0;1:13.269;0;99.0;24:35.867;12:39:14.128;0:48.439;1:17.289;1:13.269;118.9;;Am;;Toyota Gazoo Racing;GF;48.439;77.289;73.269;31.667;31.667;16.772;48.439;25.496;1:13.935;51.793;2:05.728;31.564;2:37.292;41.705;3:18.997
113;1;10;2:33.095;0;;32.959;0;57.841;0;1:02.295;0;128.7;27:08.962;12:41:47.223;0:32.959;0:57.841;1:02.295;208.5;;Am;;Toyota Gazoo Racing;GF;32.959;57.841;62.295;20.463;20.463;12.496;32.959;22.494;55.453;35.347;1:30.800;29.886;2:00.686;32.409;2:33.095
113;1;11;2:33.404;0;;33.537;0;59.114;0;1:00.753;0;128.4;29:42.366;12:44:20.627;0:33.537;0:59.114;1:00.753;206.1;;Am;;Toyota Gazoo Racing;GF;33.537;59.114;60.753;20.476;20.476;13.061;33.537;23.317;56.854;35.797;1:32.651;29.47;2:02.121;31.283;2:33.404
113;1;12;2:31.440;0;;33.179;0;57.467;2;1:00.794;0;130.1;32:13.806;12:46:52.067;0:33.179;0:57.467;1:00.794;204.5;;Am;;Toyota Gazoo Racing;FCY;33.179;57.467;60.794;20.589;20.589;12.59;33.179;22.231;55.410;35.236;1:30.646;28.929;1:59.575;31.865;2:31.440
113;1;13;3:29.273;0;;39.841;0;1:32.143;0;1:17.289;0;94.1;35:43.079;12:50:21.340;0:39.841;1:32.143;1:17.289;97.6;;Am;;Toyota Gazoo Racing;FCY;39.841;92.143;77.289;25.912;25.912;13.929;39.841;32.080;1:11.921;1:00.063;2:11.984;38.118;2:50.102;39.171;3:29.273
113;1;14;3:36.655;0;;49.922;0;1:28.048;0;1:18.685;0;90.9;39:19.734;12:53:57.995;0:49.922;1:28.048;1:18.685;127.4;;Am;;Toyota Gazoo Racing;GF;49.922;88.048;78.685;33.646;33.646;16.276;49.922;27.821;1:17.743;1:00.227;2:17.970;34.472;2:52.442;44.213;3:36.655
113;1;15;2:31.115;0;;32.671;0;57.707;0;1:00.737;0;130.4;41:50.849;12:56:29.110;0:32.671;0:57.707;1:00.737;204.5;;Am;;Toyota Gazoo Racing;GF;32.671;57.707;60.737;20.269;20.269;12.402;32.671;22.499;55.170;35.208;1:30.378;29.317;1:59.695;31.42;2:31.115
113;1;16;2:32.049;0;;33.052;0;57.563;0;1:01.434;0;129.6;44:22.898;12:59:01.159;0:33.052;0:57.563;1:01.434;198.5;;Am;;Toyota Gazoo Racing;GF;33.052;57.563;61.434;20.566;20.566;12.486;33.052;22.364;55.416;35.199;1:30.615;29.904;2:00.519;31.53;2:32.049
113;1;17;2:31.606;0;;33.245;0;57.967;0;1:00.394;0;129.9;46:54.504;13:01:32.765;0:33.245;0:57.967;1:00.394;203.8;;Am;;Toyota Gazoo Racing;FF;33.245;57.967;60.394;20.784;20.784;12.461;33.245;22.819;56.064;35.148;1:31.212;28.405;1:59.617;31.989;2:31.606
13;1;1;2:39.082;0;;41.226;0;57.965;0;59.891;0;123.8;2:39.082;12:17:17.343;0:41.226;0:57.965;0:59.891;197.1;;Am;;Toyota Gazoo Racing;GF;41.226;57.965;59.891;;;;41.226;22.547;1:03.773;35.418;1:39.191;29.171;2:08.362;30.72;2:39.082
13;1;2;2:28.478;0;;32.6;0;56.805;0;59.073;0;132.7;5:07.560;12:19:45.821;0:32.600;0:56.805;0:59.073;200.7;;Am;;Toyota Gazoo Racing;GF;32.6;56.805;59.073;20.308;20.308;12.292;32.6;21.916;54.516;34.889;1:29.405;28.512;1:57.917;30.561;2:28.478
13;1;3;2:28.386;0;;32.438;0;56.630;2;59.318;0;132.8;7:35.946;12:22:14.207;0:32.438;0:56.630;0:59.318;205.3;;Am;;Toyota Gazoo Racing;GF;32.438;56.63;59.318;20.171;20.171;12.267;32.438;21.891;54.329;34.739;1:29.068;28.657;1:57.725;30.661;2:28.386
13;1;4;2:29.849;0;;32.895;0;57.238;0;59.716;0;131.5;10:05.795;12:24:44.056;0:32.895;0:57.238;0:59.716;203.0;;Am;;Toyota Gazoo Racing;GF;32.895;57.238;59.716;20.386;20.386;12.509;32.895;22.318;55.213;34.920;1:30.133;28.854;1:58.987;30.862;2:29.849
13;1;5;2:29.181;0;;32.526;0;57.420;0;59.235;0;132.0;12:34.976;12:27:13.237;0:32.526;0:57.420;0:59.235;206.9;;Am;;Toyota Gazoo Racing;GF;32.526;57.42;59.235;20.196;20.196;12.33;32.526;22.339;54.865;35.081;1:29.946;28.491;1:58.437;30.744;2:29.181
13;1;6;2:28.198;0;;32.464;0;56.915;0;58.819;2;132.9;15:03.174;12:29:41.435;0:32.464;0:56.915;0:58.819;202.2;;Am;;Toyota Gazoo Racing;GF;32.464;56.915;58.819;20.222;20.222;12.242;32.464;21.898;54.362;35.017;1:29.379;28.283;1:57.662;30.536;2:28.198
13;1;7;2:32.327;0;;32.387;2;56.964;0;1:02.976;0;129.3;17:35.501;12:32:13.762;0:32.387;0:56.964;1:02.976;202.2;;Am;;Toyota Gazoo Racing;FCY;32.387;56.964;62.976;20.187;20.187;12.2;32.387;21.936;54.323;35.028;1:29.351;28.837;1:58.188;34.139;2:32.327
13;1;8;3:29.796;0;;42.833;0;1:30.364;0;1:16.599;0;93.9;21:05.297;12:35:43.558;0:42.833;1:30.364;1:16.599;88.7;;Am;;Toyota Gazoo Racing;FCY;42.833;90.364;76.599;25.965;25.965;16.868;42.833;32.078;1:14.911;58.286;2:13.197;35.424;2:48.621;41.175;3:29.796
13;1;9;3:25.253;0;;46.99;0;1:17.893;0;1:20.370;0;96.0;24:30.550;12:39:08.811;0:46.990;1:17.893;1:20.370;101.3;;Am;;Toyota Gazoo Racing;FCY;46.99;77.893;80.37;30.421;30.421;16.569;46.99;27.241;1:14.231;50.652;2:04.883;34.555;2:39.438;45.815;3:25.253
13;1;10;2:28.638;0;;32.638;0;56.807;0;59.193;0;132.5;26:59.188;12:41:37.449;0:32.638;0:56.807;0:59.193;205.3;;Am;;Toyota Gazoo Racing;GF;32.638;56.807;59.193;20.348;20.348;12.29;32.638;22.002;54.640;34.805;1:29.445;28.484;1:57.929;30.709;2:28.638
13;1;11;2:28.320;0;;32.592;0;56.869;0;58.859;0;132.8;29:27.508;12:44:05.769;0:32.592;0:56.869;0:58.859;203.0;;Am;;Toyota Gazoo Racing;GF;32.592;56.869;58.859;20.366;20.366;12.226;32.592;21.910;54.502;34.959;1:29.461;28.369;1:57.830;30.49;2:28.320
13;1;12;2:33.224;0;;32.495;0;56.904;0;1:03.825;0;128.6;32:00.732;12:46:38.993;0:32.495;0:56.904;1:03.825;203.8;;Am;;Toyota Gazoo Racing;FCY;32.495;56.904;63.825;20.256;20.256;12.239;32.495;21.903;54.398;35.001;1:29.399;28.349;1:57.748;35.476;2:33.224
13;1;13;3:31.876;0;;43.552;0;1:28.068;0;1:20.256;0;93.0;35:32.608;12:50:10.869;0:43.552;1:28.068;1:20.256;93.9;;Am;;Toyota Gazoo Racing;FCY;43.552;88.068;80.256;25.511;25.511;18.041;43.552;31.021;1:14.573;57.047;2:11.620;38.995;2:50.615;41.261;3:31.876
13;1;14;3:41.008;0;;48.043;0;1:26.908;0;1:26.057;0;89.1;39:13.616;12:53:51.877;0:48.043;1:26.908;1:26.057;83.9;;Am;;Toyota Gazoo Racing;GF;48.043;86.908;86.057;29.668;29.668;18.375;48.043;29.631;1:17.674;57.277;2:14.951;38.968;2:53.919;47.089;3:41.008
13;1;15;2:28.929;0;;32.911;0;56.994;0;59.024;0;132.3;41:42.545;12:56:20.806;0:32.911;0:56.994;0:59.024;205.3;;Am;;Toyota Gazoo Racing;GF;32.911;56.994;59.024;20.397;20.397;12.514;32.911;21.952;54.863;35.042;1:29.905;28.327;1:58.232;30.697;2:28.929
13;1;16;2:28.115;2;;32.408;0;56.876;0;58.831;0;133.0;44:10.660;12:58:48.921;0:32.408;0:56.876;0:58.831;203.8;;Am;;Toyota Gazoo Racing;GF;32.408;56.876;58.831;20.146;20.146;12.262;32.408;21.867;54.275;35.009;1:29.284;28.369;1:57.653;30.462;2:28.115
13;1;17;2:28.985;0;;32.41;0;57.115;0;59.460;0;132.2;46:39.645;13:01:17.906;0:32.410;0:57.115;0:59.460;203.0;;Am;;Toyota Gazoo Racing;FF;32.41;57.115;59.46;20.198;20.198;12.212;32.41;21.874;54.284;35.241;1:29.525;28.624;1:58.149;30.836;2:28.985
14;1;1;2:43.893;0;;43.627;0;59.046;0;1:01.220;0;120.2;2:43.893;12:17:22.154;0:43.627;0:59.046;1:01.220;206.1;;Am;;Toyota Gazoo Racing;GF;43.627;59.046;61.22;;;;43.627;23.329;1:06.956;35.717;1:42.673;29.843;2:12.516;31.377;2:43.893
14;1;2;2:31.948;0;;33.933;0;58.018;0;59.997;0;129.6;5:15.841;12:19:54.102;0:33.933;0:58.018;0:59.997;203.8;;Am;;Toyota Gazoo Racing;GF;33.933;58.018;59.997;21.379;21.379;12.554;33.933;22.547;56.480;35.471;1:31.951;28.878;2:00.829;31.119;2:31.948
14;1;3;2:29.906;2;;32.817;0;57.623;2;59.466;2;131.4;7:45.747;12:22:24.008;0:32.817;0:57.623;0:59.466;200.7;;Am;;Toyota Gazoo Racing;GF;32.817;57.623;59.466;20.421;20.421;12.396;32.817;22.205;55.022;35.418;1:30.440;28.535;1:58.975;30.931;2:29.906
14;1;4;2:32.359;0;;32.689;0;58.661;0;1:01.009;0;129.3;10:18.106;12:24:56.367;0:32.689;0:58.661;1:01.009;200.7;;Am;;Toyota Gazoo Racing;GF;32.689;58.661;61.009;20.326;20.326;12.363;32.689;23.005;55.694;35.656;1:31.350;29.421;2:00.771;31.588;2:32.359
14;1;5;2:30.888;0;;33.312;0;57.991;0;59.585;0;130.5;12:48.994;12:27:27.255;0:33.312;0:57.991;0:59.585;201.5;;Am;;Toyota Gazoo Racing;GF;33.312;57.991;59.585;20.693;20.693;12.619;33.312;22.458;55.770;35.533;1:31.303;28.75;2:00.053;30.835;2:30.888
14;1;6;2:31.609;0;;32.774;0;58.005;0;1:00.830;0;129.9;15:20.603;12:29:58.864;0:32.774;0:58.005;1:00.830;201.5;;Am;;Toyota Gazoo Racing;GF;32.774;58.005;60.83;20.478;20.478;12.296;32.774;22.276;55.050;35.729;1:30.779;29.293;2:00.072;31.537;2:31.609
14;1;7;2:34.513;0;;33.334;0;58.191;0;1:02.988;0;127.5;17:55.116;12:32:33.377;0:33.334;0:58.191;1:02.988;198.5;;Am;;Toyota Gazoo Racing;FCY;33.334;58.191;62.988;20.866;20.866;12.468;33.334;22.518;55.852;35.673;1:31.525;30.147;2:01.672;32.841;2:34.513
14;1;8;3:22.826;0;;35.726;0;1:33.123;0;1:13.977;0;97.1;21:17.942;12:35:56.203;0:35.726;1:33.123;1:13.977;81.2;;Am;;Toyota Gazoo Racing;FCY;35.726;93.123;73.977;22.12;22.12;13.606;35.726;32.513;1:08.239;1:00.610;2:08.849;36.95;2:45.799;37.027;3:22.826
14;1;9;3:18.768;0;;49.203;0;1:17.051;0;1:12.514;0;99.1;24:36.710;12:39:14.971;0:49.203;1:17.051;1:12.514;146.3;;Am;;Toyota Gazoo Racing;GF;49.203;77.051;72.514;32.485;32.485;16.718;49.203;24.758;1:13.961;52.293;2:06.254;31.846;2:38.100;40.668;3:18.768
14;1;10;2:31.650;0;;33.03;0;57.951;0;1:00.669;0;129.9;27:08.360;12:41:46.621;0:33.030;0:57.951;1:00.669;205.3;;Am;;Toyota Gazoo Racing;GF;33.03;57.951;60.669;20.465;20.465;12.565;33.03;22.579;55.609;35.372;1:30.981;29.23;2:00.211;31.439;2:31.650
14;1;11;2:34.024;0;;33.324;0;59.652;0;1:01.048;0;127.9;29:42.384;12:44:20.645;0:33.324;0:59.652;1:01.048;203.8;;Am;;Toyota Gazoo Racing;GF;33.324;59.652;61.048;20.493;20.493;12.831;33.324;23.597;56.921;36.055;1:32.976;29.339;2:02.315;31.709;2:34.024
14;1;12;2:33.028;0;;33.348;0;58.060;0;1:01.620;0;128.7;32:15.412;12:46:53.673;0:33.348;0:58.060;1:01.620;201.5;;Am;;Toyota Gazoo Racing;FCY;33.348;58.06;61.62;20.693;20.693;12.655;33.348;22.656;56.004;35.404;1:31.408;29.728;2:01.136;31.892;2:33.028
14;1;13;3:28.432;0;;39.656;0;1:31.781;0;1:16.995;0;94.5;35:43.844;12:50:22.105;0:39.656;1:31.781;1:16.995;101.1;;Am;;Toyota Gazoo Racing;FCY;39.656;91.781;76.995;26.326;26.326;13.33;39.656;31.356;1:11.012;1:00.425;2:11.437;37.866;2:49.303;39.129;3:28.432
